ID,Title,Difficulty,Category,Topics,Company Count,Companies,Frequency,Acceptance Rate,LeetCode Link,Topic Categories
12,Container With Most Water,MEDIUM,Array,"Array, Greedy, Two Pointers",26,"Adobe, Amazon, Apple, Atlassian, Bloomberg, ByteDance, Citadel, Deolite, Flipkart, Goldman Sachs, Google, Intel, JP Morgan, Meta, Microsoft, NVIDIA, Oracle, PayPal, Salesforce, ServiceNow, Snowflake, Tesla, Uber, Visa, Walmart, Yahoo",65.3,0.5778283165036205,https://leetcode.com/problems/container-with-most-water,"Array, Greedy, Two Pointers"
13,Longest Palindromic Substring,MEDIUM,Dynamic Programming,"Dynamic Programming, String, Two Pointers",25,"Adobe, Amazon, Apple, BlackRock, Bloomberg, ByteDance, Cisco, Dell, Deolite, Goldman Sachs, Google, IBM, JP Morgan, Linkedln, Meta, Microsoft, Morgan Stanley, Oracle, Salesforce, ServiceNow, Tesla, Uber, Visa, Walmart, Yahoo",64.4,0.358461107628481,https://leetcode.com/problems/longest-palindromic-substring,"String, Dynamic Programming, Two Pointers"
14,Merge Sorted Array,EASY,Array,"Array, Sorting, Two Pointers",24,"Adobe, Amazon, Apple, Atlassian, Bloomberg, ByteDance, Cisco, Goldman Sachs, Google, IBM, Intel, Linkedln, Meta, Microsoft, NVIDIA, Netflix, Oracle, PayPal, Qualcomm, ServiceNow, Swiggy, Uber, Walmart, Yahoo",72.7,0.5291952521829845,https://leetcode.com/problems/merge-sorted-array,"Array, Sorting, Two Pointers"
15,Median of Two Sorted Arrays,HARD,Array,"Array, Binary Search, Divide and Conquer",23,"Adobe, Amazon, Apple, Bloomberg, Citadel, DEShaw, Flipkart, Goldman Sachs, Google, IBM, Intuit, Linkedln, Meta, Microsoft, Oracle, PayPal, ServiceNow, Snap, Swiggy, Uber, Visa, Walmart, Yahoo",77.0,0.4381460348224133,https://leetcode.com/problems/median-of-two-sorted-arrays,"Array, Binary Search, Divide and Conquer"
16,Course Schedule II,MEDIUM,BFS,"BFS, Breadth-First Search, DFS, Depth-First Search, Graph, Topological Sort",22,"Amazon, Apple, Bloomberg, ByteDance, Citadel, Databricks, Flipkart, Goldman Sachs, Intuit, Linkedln, Meta, Microsoft, NVIDIA, Netflix, Oracle, Qualcomm, Salesforce, Snap, Snowflake, Tesla, Uber, Walmart",68.5,53.42%,https://leetcode.com/problems/course-schedule-ii,"Graph, BFS, DFS"
17,Kth Largest Element in an Array,MEDIUM,Array,"Array, Divide and Conquer, Heap (Priority Queue), Heap / Priority Queue, Queue, Quickselect, Sorting",22,"Amazon, Apple, Bloomberg, ByteDance, Deolite, Flipkart, Goldman Sachs, Google, Intuit, JP Morgan, Linkedln, Meta, Microsoft, Morgan Stanley, NVIDIA, Oracle, PayPal, Qualcomm, Salesforce, ServiceNow, Spotify, Walmart",58.2,67.98%,https://leetcode.com/problems/kth-largest-element-in-an-array,"Array, Queue, Heap / Priority Queue, Sorting, Divide and Conquer"
18,Letter Combinations of a Phone Number,MEDIUM,Backtracking,"Backtracking, Hash Table, String",22,"Adobe, Amazon, Apple, Bloomberg, Cisco, Citadel, DEShaw, Goldman Sachs, Google, IBM, JP Morgan, Linkedln, Meta, Microsoft, Morgan Stanley, Oracle, Salesforce, ServiceNow, Swiggy, Tesla, Uber, Yahoo",56.1,0.6385755061179695,https://leetcode.com/problems/letter-combinations-of-a-phone-number,"String, Hash Table, Backtracking"
19,Rotate Image,MEDIUM,Array,"Array, Math, Matrix",22,"Adobe, Amazon, Apple, Bloomberg, Cisco, DEShaw, Flipkart, Goldman Sachs, Google, IBM, Intel, JP Morgan, Meta, Microsoft, NVIDIA, Netflix, Oracle, PayPal, Qualcomm, Uber, Walmart, Yahoo",56.1,0.7790165261990751,https://leetcode.com/problems/rotate-image,"Array, Math, Matrix"
20,Search in Rotated Sorted Array,MEDIUM,Array,"Array, Binary Search",22,"Adobe, Amazon, Apple, Bloomberg, ByteDance, Flipkart, Goldman Sachs, Google, Linkedln, Meta, Microsoft, NVIDIA, Netflix, Oracle, PayPal, Salesforce, ServiceNow, Snap, Uber, Visa, Walmart, Yahoo",47.2,0.4283721632586699,https://leetcode.com/problems/search-in-rotated-sorted-array,"Array, Binary Search"
21,Spiral Matrix,MEDIUM,Array,"Array, Matrix, Simulation",22,"Adobe, Amazon, Apple, Bloomberg, Cisco, DEShaw, Databricks, Goldman Sachs, Google, IBM, Intuit, JP Morgan, Meta, Microsoft, NVIDIA, Netflix, Oracle, PayPal, Uber, Visa, Walmart, Yahoo",62.7,0.5393976057408939,https://leetcode.com/problems/spiral-matrix,"Array, Matrix, Simulation"
22,Merge k Sorted Lists,HARD,Divide and Conquer,"Divide and Conquer, Heap (Priority Queue), Heap / Priority Queue, Linked List, Merge Sort, Queue",22,"Adobe, Amazon, Apple, Bloomberg, ByteDance, Cisco, Citadel, Dell, Deolite, Google, Linkedln, Meta, Microsoft, NVIDIA, Oracle, Palantir, Salesforce, Snowflake, Twitter, Uber, Walmart, Yahoo",50.0,0.5677420052593406,https://leetcode.com/problems/merge-k-sorted-lists,"Linked List, Queue, Heap / Priority Queue, Divide and Conquer"
23,Climbing Stairs,EASY,Dynamic Programming,"Dynamic Programming, Math, Memoization",21,"Adobe, Amazon, Apple, Bloomberg, ByteDance, Cisco, Citadel, Deolite, Goldman Sachs, Google, IBM, Intel, Intuit, JP Morgan, Meta, Microsoft, NVIDIA, Oracle, Qualcomm, Uber, Yahoo",69.9,0.5354071840932856,https://leetcode.com/problems/climbing-stairs,"Dynamic Programming, Math"
24,Merge Two Sorted Lists,EASY,Linked List,"Linked List, Recursion",21,"Adobe, Amazon, Apple, Bloomberg, Flipkart, Goldman Sachs, Google, Intel, Intuit, Linkedln, Meta, Microsoft, Oracle, Salesforce, Snap, Snowflake, Swiggy, Uber, Visa, Walmart, Yahoo",61.7,0.6684088801523707,https://leetcode.com/problems/merge-two-sorted-lists,"Linked List, Recursion"
25,House Robber,MEDIUM,Array,"Array, Dynamic Programming",21,"Amazon, Apple, ByteDance, Cisco, Citadel, DEShaw, Databricks, Flipkart, Goldman Sachs, Google, Intuit, Linkedln, Meta, Microsoft, Morgan Stanley, NVIDIA, PayPal, Salesforce, ServiceNow, Tesla, Walmart",68.7,52.3%,https://leetcode.com/problems/house-robber,"Array, Dynamic Programming"
26,Integer to Roman,MEDIUM,Hash Table,"Hash Table, Math, String",21,"Adobe, Amazon, Apple, Atlassian, Bloomberg, Citadel, Goldman Sachs, Google, IBM, JP Morgan, Linkedln, Meta, Microsoft, Oracle, Salesforce, Swiggy, Twitter, Uber, Visa, Walmart, Yahoo",78.7,0.6861925885666443,https://leetcode.com/problems/integer-to-roman,"String, Hash Table, Math"
27,Top K Frequent Elements,MEDIUM,Array,"Array, Bucket Sort, Counting, Divide and Conquer, Hash Table, Heap (Priority Queue), Heap / Priority Queue, Queue, Quickselect, Sorting",21,"Adobe, Amazon, Apple, Atlassian, Bloomberg, ByteDance, Cisco, Goldman Sachs, Intuit, JP Morgan, Meta, Netflix, Oracle, PayPal, Salesforce, Snap, Snowflake, Tesla, Uber, Visa, Walmart",92.0,0.6456596965737327,https://leetcode.com/problems/top-k-frequent-elements,"Array, Hash Table, Queue, Heap / Priority Queue, Sorting, Divide and Conquer"
28,First Missing Positive,HARD,Array,"Array, Hash Table",21,"Adobe, Amazon, Apple, Bloomberg, Databricks, Flipkart, Goldman Sachs, Google, Meta, Microsoft, Morgan Stanley, Netflix, Oracle, PayPal, Salesforce, ServiceNow, Swiggy, Tesla, Uber, Walmart, Zomato",49.0,0.4108465766394882,https://leetcode.com/problems/first-missing-positive,"Array, Hash Table"
29,Generate Parentheses,MEDIUM,Backtracking,"Backtracking, Dynamic Programming, String",20,"Adobe, Amazon, Apple, BlackRock, Bloomberg, DEShaw, Google, IBM, Intuit, JP Morgan, Meta, Microsoft, Morgan Stanley, NVIDIA, Netflix, Oracle, ServiceNow, Uber, Walmart, Yahoo",57.3,0.7713286717803378,https://leetcode.com/problems/generate-parentheses,"String, Dynamic Programming, Backtracking"
30,Longest Consecutive Sequence,MEDIUM,Array,"Array, Hash Table, Union Find",20,"Amazon, Apple, Atlassian, Bloomberg, ByteDance, Cisco, DEShaw, Flipkart, Goldman Sachs, Google, IBM, Meta, Microsoft, Oracle, PayPal, ServiceNow, Swiggy, Uber, Walmart, Yahoo",66.1,47.04%,https://leetcode.com/problems/longest-consecutive-sequence,"Array, Hash Table, Union Find"
31,Subarray Sum Equals K,MEDIUM,Array,"Array, Hash Table, Prefix Sum",20,"Amazon, Apple, Bloomberg, ByteDance, Cisco, Flipkart, Goldman Sachs, Google, IBM, JP Morgan, Meta, Microsoft, Morgan Stanley, NVIDIA, PayPal, ServiceNow, Snap, Swiggy, Tesla, Walmart",55.0,45.48%,https://leetcode.com/problems/subarray-sum-equals-k,"Array, Hash Table, Prefix Sum"
32,Combination Sum,MEDIUM,Array,"Array, Backtracking",19,"Adobe, Amazon, Apple, Bloomberg, ByteDance, Citadel, DEShaw, Google, JP Morgan, Linkedln, Meta, Microsoft, Oracle, Salesforce, ServiceNow, Snap, Uber, Walmart, Yahoo",18.2,0.7467468656021409,https://leetcode.com/problems/combination-sum,"Array, Backtracking"
33,Product of Array Except Self,MEDIUM,Array,"Array, Prefix Sum",19,"Adobe, Amazon, Apple, Bloomberg, Cisco, Flipkart, Goldman Sachs, IBM, Intuit, Linkedln, Meta, Microsoft, NVIDIA, Oracle, PayPal, Salesforce, Snap, Uber, Walmart",78.7,0.6777995792305304,https://leetcode.com/problems/product-of-array-except-self,"Array, Prefix Sum"
34,Word Search,MEDIUM,Array,"Array, Backtracking, DFS, Depth-First Search, Matrix, String",19,"Adobe, Amazon, Apple, Atlassian, Bloomberg, Cisco, Citadel, Goldman Sachs, Meta, Microsoft, Morgan Stanley, Netflix, Oracle, PayPal, Salesforce, Snap, Uber, Visa, Walmart",34.8,0.4526693801123823,https://leetcode.com/problems/word-search,"Array, String, Backtracking, DFS, Matrix"
35,Reverse Linked List,EASY,Linked List,"Linked List, Recursion",18,"Apple, Bloomberg, ByteDance, Cisco, Deolite, Google, JP Morgan, Meta, Microsoft, NVIDIA, Oracle, PayPal, Qualcomm, ServiceNow, Snap, Tesla, Twitter, Visa",57.2,0.7920654119580827,https://leetcode.com/problems/reverse-linked-list,"Linked List, Recursion"
36,Insert Delete GetRandom O(1),MEDIUM,Array,"Array, Design, Hash Table, Math, Randomized",18,"Amazon, Bloomberg, ByteDance, Cisco, Citadel, DEShaw, Goldman Sachs, Google, Intuit, Linkedln, NVIDIA, Netflix, Oracle, Salesforce, Snap, Snowflake, Twitter, Uber",64.0,54.99%,https://leetcode.com/problems/insert-delete-getrandom-o1,"Array, Hash Table, Math, Design"
37,Meeting Rooms II,MEDIUM,Array,"Array, Greedy, Heap (Priority Queue), Heap / Priority Queue, Prefix Sum, Queue, Sorting, Two Pointers",18,"Amazon, Apple, Atlassian, Bloomberg, Cisco, Google, IBM, Meta, Microsoft, Morgan Stanley, NVIDIA, Netflix, Oracle, PayPal, Salesforce, ServiceNow, Snap, Snowflake",68.7,52.14%,https://leetcode.com/problems/meeting-rooms-ii,"Array, Queue, Heap / Priority Queue, Sorting, Greedy, Two Pointers, Prefix Sum"
38,Min Stack,MEDIUM,Design,"Design, Stack",18,"Amazon, Apple, Bloomberg, Cisco, Google, Intuit, Linkedln, Microsoft, Morgan Stanley, NVIDIA, Oracle, PayPal, Salesforce, Snap, Snowflake, Uber, Walmart, Yahoo",64.0,56.45%,https://leetcode.com/problems/min-stack,"Stack, Design"
39,"Pow(x, n)",MEDIUM,Math,"Math, Recursion",18,"Adobe, Amazon, Apple, Bloomberg, ByteDance, Citadel, Goldman Sachs, Google, Linkedln, Meta, Microsoft, Oracle, Qualcomm, Salesforce, ServiceNow, Uber, Walmart, Yahoo",47.2,0.370231906887774,https://leetcode.com/problems/powx-n,"Recursion, Math"
40,Sort Colors,MEDIUM,Array,"Array, Sorting, Two Pointers",18,"Adobe, Amazon, Apple, Bloomberg, DEShaw, Flipkart, Google, Meta, Microsoft, Morgan Stanley, NVIDIA, Oracle, PayPal, Salesforce, Swiggy, Uber, Walmart, Yahoo",50.0,0.675831142046278,https://leetcode.com/problems/sort-colors,"Array, Sorting, Two Pointers"
41,Palindrome Number,EASY,Math,Math,17,"Adobe, Amazon, Apple, Bloomberg, Deolite, Google, IBM, Intel, JP Morgan, Meta, Microsoft, Oracle, Qualcomm, Uber, Visa, Walmart, Yahoo",69.6,0.5922454353509216,https://leetcode.com/problems/palindrome-number,Math
42,Coin Change,MEDIUM,Array,"Array, BFS, Breadth-First Search, Dynamic Programming",17,"Amazon, Atlassian, BlackRock, Bloomberg, Deolite, Goldman Sachs, Google, Intuit, JP Morgan, NVIDIA, Netflix, Oracle, PayPal, Salesforce, ServiceNow, Uber, Walmart",64.0,46.5%,https://leetcode.com/problems/coin-change,"Array, Dynamic Programming, BFS"
43,Course Schedule,MEDIUM,BFS,"BFS, Breadth-First Search, DFS, Depth-First Search, Graph, Topological Sort",17,"Amazon, Apple, ByteDance, Citadel, Flipkart, Google, Intuit, Meta, Microsoft, NVIDIA, Oracle, PayPal, Snap, Snowflake, Swiggy, Visa, Walmart",71.3,49.23%,https://leetcode.com/problems/course-schedule,"Graph, BFS, DFS"
44,Jump Game,MEDIUM,Array,"Array, Dynamic Programming, Greedy",17,"Adobe, Amazon, Apple, Bloomberg, Cisco, Flipkart, Goldman Sachs, Google, Meta, Microsoft, Morgan Stanley, Oracle, PayPal, Salesforce, ServiceNow, Uber, Yahoo",58.5,0.3947919786729132,https://leetcode.com/problems/jump-game,"Array, Dynamic Programming, Greedy"
45,Next Permutation,MEDIUM,Array,"Array, Two Pointers",17,"Adobe, Amazon, Apple, Bloomberg, ByteDance, DEShaw, Goldman Sachs, Google, IBM, Intuit, JP Morgan, Linkedln, Meta, Microsoft, ServiceNow, Uber, Yahoo",64.4,0.4305775328017951,https://leetcode.com/problems/next-permutation,"Array, Two Pointers"
46,Permutations,MEDIUM,Array,"Array, Backtracking",17,"Adobe, Amazon, Apple, Bloomberg, Cisco, Citadel, Goldman Sachs, Google, JP Morgan, Linkedln, Meta, Microsoft, Oracle, Qualcomm, ServiceNow, Uber, Yahoo",53.3,0.8066012553007272,https://leetcode.com/problems/permutations,"Array, Backtracking"
47,Valid Sudoku,MEDIUM,Array,"Array, Hash Table, Matrix",17,"Adobe, Amazon, Apple, Bloomberg, Goldman Sachs, Google, Linkedln, Meta, Microsoft, NVIDIA, Oracle, PayPal, Snap, Uber, Visa, Walmart, Yahoo",50.0,0.6227675793740958,https://leetcode.com/problems/valid-sudoku,"Array, Hash Table, Matrix"
48,Minimum Window Substring,HARD,Hash Table,"Hash Table, Sliding Window, String",17,"Adobe, Amazon, Apple, Bloomberg, ByteDance, Google, Linkedln, Meta, Microsoft, Oracle, PayPal, Salesforce, Snap, Snowflake, Uber, Walmart, Yahoo",78.7,0.4535074763823223,https://leetcode.com/problems/minimum-window-substring,"String, Hash Table, Sliding Window"
49,Majority Element,EASY,Array,"Array, Counting, Divide and Conquer, Hash Table, Sorting",16,"Adobe, Amazon, Bloomberg, DEShaw, Deolite, Flipkart, Google, IBM, Meta, Microsoft, NVIDIA, Oracle, Qualcomm, Salesforce, Swiggy, Yahoo",78.7,0.6574028018936169,https://leetcode.com/problems/majority-element,"Array, Hash Table, Sorting, Divide and Conquer"
50,Add Two Numbers,MEDIUM,Linked List,"Linked List, Math, Recursion",16,"Adobe, Amazon, Apple, Bloomberg, ByteDance, Cisco, Goldman Sachs, Google, Intel, Meta, Microsoft, NVIDIA, Oracle, Uber, Walmart, Yahoo",70.5,0.4622507291808296,https://leetcode.com/problems/add-two-numbers,"Linked List, Recursion, Math"
51,Best Time to Buy and Sell Stock II,MEDIUM,Array,"Array, Dynamic Programming, Greedy",16,"Amazon, Apple, Bloomberg, Citadel, DEShaw, Goldman Sachs, Google, Intel, JP Morgan, Meta, Microsoft, Qualcomm, Salesforce, Uber, Walmart, Yahoo",64.0,69.5%,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-ii,"Array, Dynamic Programming, Greedy"
52,Daily Temperatures,MEDIUM,Array,"Array, Monotonic Stack, Stack",16,"Amazon, Bloomberg, Flipkart, Goldman Sachs, Google, Intuit, JP Morgan, Microsoft, NVIDIA, Netflix, Palantir, Salesforce, ServiceNow, Swiggy, Visa, Walmart",42.4,67.37%,https://leetcode.com/problems/daily-temperatures,"Array, Stack, Monotonic Stack"
53,Jump Game II,MEDIUM,Array,"Array, Dynamic Programming, Greedy",16,"Adobe, Amazon, Apple, Atlassian, Bloomberg, DEShaw, Flipkart, Goldman Sachs, Google, Meta, Microsoft, Oracle, PayPal, Uber, Walmart, Zomato",50.7,0.415032966531176,https://leetcode.com/problems/jump-game-ii,"Array, Dynamic Programming, Greedy"
54,Zigzag Conversion,MEDIUM,String,String,16,"Adobe, Amazon, Apple, Bloomberg, Cisco, Goldman Sachs, Google, Intuit, Meta, Microsoft, Oracle, PayPal, Salesforce, ServiceNow, Uber, Yahoo",41.2,0.5160678115303926,https://leetcode.com/problems/zigzag-conversion,String
55,Text Justification,HARD,Array,"Array, Simulation, String",16,"Adobe, Amazon, Apple, Atlassian, Bloomberg, Databricks, Goldman Sachs, Google, Linkedln, Meta, Microsoft, Netflix, Oracle, PayPal, Uber, Visa",34.8,0.4814993566410409,https://leetcode.com/problems/text-justification,"Array, String, Simulation"
56,Longest Common Prefix,EASY,String,"String, Trie",15,"Adobe, Amazon, Apple, Bloomberg, Deolite, Google, IBM, Meta, Microsoft, NVIDIA, Oracle, Uber, Visa, Walmart, Yahoo",80.1,0.4548305774598658,https://leetcode.com/problems/longest-common-prefix,"String, Trie"
57,Move Zeroes,EASY,Array,"Array, Two Pointers",15,"Amazon, Apple, Bloomberg, Cisco, Goldman Sachs, Google, Intuit, Meta, Microsoft, NVIDIA, Oracle, Salesforce, ServiceNow, Tesla, Walmart",58.2,62.8%,https://leetcode.com/problems/move-zeroes,"Array, Two Pointers"
58,Remove Duplicates from Sorted Array,EASY,Array,"Array, Two Pointers",15,"Adobe, Amazon, Apple, Bloomberg, Cisco, Flipkart, Google, IBM, Meta, Microsoft, Morgan Stanley, Oracle, Qualcomm, Uber, Yahoo",64.4,0.6035551873801481,https://leetcode.com/problems/remove-duplicates-from-sorted-array,"Array, Two Pointers"
59,Roman to Integer,EASY,Hash Table,"Hash Table, Math, String",15,"Adobe, Amazon, Apple, Bloomberg, Goldman Sachs, Google, IBM, Meta, Microsoft, Oracle, Salesforce, Snowflake, Uber, Visa, Yahoo",62.7,0.6486627884371093,https://leetcode.com/problems/roman-to-integer,"String, Hash Table, Math"
60,Decode Ways,MEDIUM,Dynamic Programming,"Dynamic Programming, String",15,"Adobe, Amazon, Apple, Bloomberg, Flipkart, Goldman Sachs, JP Morgan, Meta, Microsoft, Morgan Stanley, Oracle, Salesforce, Snap, Uber, Walmart",78.7,0.3653098286175434,https://leetcode.com/problems/decode-ways,"String, Dynamic Programming"
61,Edit Distance,MEDIUM,Dynamic Programming,"Dynamic Programming, String",15,"Adobe, Amazon, Apple, Bloomberg, Cisco, DEShaw, Deolite, Flipkart, Linkedln, Meta, Microsoft, Snap, Swiggy, Visa, Yahoo",30.6,0.5878978269295445,https://leetcode.com/problems/edit-distance,"String, Dynamic Programming"
62,Find First and Last Position of Element in Sorted Array,MEDIUM,Array,"Array, Binary Search",15,"Adobe, Amazon, Apple, Atlassian, Bloomberg, DEShaw, Google, Linkedln, Meta, Microsoft, Oracle, PayPal, ServiceNow, Uber, Yahoo",53.3,0.4682875947454554,https://leetcode.com/problems/find-first-and-last-position-of-element-in-sorted-array,"Array, Binary Search"
63,Reverse Integer,MEDIUM,Math,Math,15,"Adobe, Amazon, Apple, Bloomberg, Deolite, Google, IBM, Intel, Meta, Microsoft, NVIDIA, Oracle, Qualcomm, Uber, Yahoo",74.8,0.3030892269554824,https://leetcode.com/problems/reverse-integer,Math
64,Rotting Oranges,MEDIUM,Array,"Array, BFS, Breadth-First Search, Matrix",15,"Adobe, Amazon, ByteDance, Citadel, Flipkart, Goldman Sachs, Intuit, Microsoft, Oracle, PayPal, Salesforce, ServiceNow, Twitter, Uber, Walmart",78.7,0.566184675573941,https://leetcode.com/problems/rotting-oranges,"Array, BFS, Matrix"
65,Set Matrix Zeroes,MEDIUM,Array,"Array, Hash Table, Matrix",15,"Adobe, Amazon, Apple, Bloomberg, Goldman Sachs, Google, JP Morgan, Meta, Microsoft, NVIDIA, Oracle, ServiceNow, Uber, Walmart, Yahoo",60.7,0.6070884864800216,https://leetcode.com/problems/set-matrix-zeroes,"Array, Hash Table, Matrix"
66,Unique Paths,MEDIUM,Combinatorics,"Combinatorics, Dynamic Programming, Math",15,"Adobe, Amazon, Apple, Bloomberg, ByteDance, Cisco, DEShaw, Goldman Sachs, Google, Meta, Microsoft, Oracle, Uber, Yahoo, Zomato",50.0,0.6577287347956182,https://leetcode.com/problems/unique-paths,"Dynamic Programming, Math"
67,Validate Binary Search Tree,MEDIUM,Binary Search,"Binary Search, Binary Search Tree, Binary Tree, DFS, Depth-First Search, Tree",15,"Adobe, Amazon, Apple, Bloomberg, Citadel, IBM, Linkedln, Meta, Microsoft, NVIDIA, Oracle, Salesforce, ServiceNow, Uber, Yahoo",30.6,0.3438040355108531,https://leetcode.com/problems/validate-binary-search-tree,"Binary Search, Tree, DFS"
68,Word Break,MEDIUM,Array,"Array, Dynamic Programming, Hash Table, Memoization, String, Trie",15,"Amazon, Apple, Bloomberg, Flipkart, Google, IBM, Intuit, Meta, Microsoft, Netflix, Salesforce, Snowflake, Uber, Walmart, Yahoo",50.8,48.27%,https://leetcode.com/problems/word-break,"Array, String, Dynamic Programming, Hash Table, Trie"
