Title,Difficulty,Company Count,Companies,Frequency,Acceptance Rate,LeetCode Link,Topics,Topic Categories
3Sum,MEDIUM,26,"Adobe, Amazon, Apple, Atlassian, Bloomberg, Cisco, Citadel, Flipkart, Goldman Sachs, Google, IBM, Intuit, Meta, Microsoft, Morgan Stanley, NVIDIA, Oracle, PayPal, Salesforce, ServiceNow, Tesla, Uber, Visa, Walmart, Yahoo, Zomato",78.6,0.3707094094916058,https://leetcode.com/problems/3sum,"Array, Sorting, Two Pointers","Array, Sorting, Two Pointers"
Container With Most Water,MEDIUM,26,"Adobe, Amazon, Apple, Atlassian, Bloomberg, ByteDance, Citadel, Deolite, Flipkart, Goldman Sachs, Google, Intel, JP Morgan, Meta, Microsoft, NVIDIA, Oracle, PayPal, Salesforce, ServiceNow, Snowflake, Tesla, Uber, Visa, Walmart, Yahoo",65.3,0.5778283165036205,https://leetcode.com/problems/container-with-most-water,"Array, Greedy, Two Pointers","Array, Greedy, Two Pointers"
Longest Palindromic Substring,MEDIUM,25,"Adobe, Amazon, Apple, BlackRock, Bloomberg, ByteDance, Cisco, Dell, Deolite, Goldman Sachs, Google, IBM, JP Morgan, Linkedln, Meta, Microsoft, Morgan Stanley, Oracle, Salesforce, ServiceNow, Tesla, Uber, Visa, Walmart, Yahoo",64.4,0.358461107628481,https://leetcode.com/problems/longest-palindromic-substring,"Dynamic Programming, String, Two Pointers","String, Dynamic Programming, Two Pointers"
Merge Sorted Array,EASY,24,"Adobe, Amazon, Apple, Atlassian, Bloomberg, ByteDance, Cisco, Goldman Sachs, Google, IBM, Intel, Linkedln, Meta, Microsoft, NVIDIA, Netflix, Oracle, PayPal, Qualcomm, ServiceNow, Swiggy, Uber, Walmart, Yahoo",72.7,0.5291952521829845,https://leetcode.com/problems/merge-sorted-array,"Array, Sorting, Two Pointers","Array, Sorting, Two Pointers"
Median of Two Sorted Arrays,HARD,23,"Adobe, Amazon, Apple, Bloomberg, Citadel, DEShaw, Flipkart, Goldman Sachs, Google, IBM, Intuit, Linkedln, Meta, Microsoft, Oracle, PayPal, ServiceNow, Snap, Swiggy, Uber, Visa, Walmart, Yahoo",77.0,0.4381460348224133,https://leetcode.com/problems/median-of-two-sorted-arrays,"Array, Binary Search, Divide and Conquer","Array, Binary Search, Divide and Conquer"
Course Schedule II,MEDIUM,22,"Amazon, Apple, Bloomberg, ByteDance, Citadel, Databricks, Flipkart, Goldman Sachs, Intuit, Linkedln, Meta, Microsoft, NVIDIA, Netflix, Oracle, Qualcomm, Salesforce, Snap, Snowflake, Tesla, Uber, Walmart",68.5,53.42%,https://leetcode.com/problems/course-schedule-ii,"Breadth-First Search, Depth-First Search, Graph, Topological Sort","Graph, BFS, DFS"
Kth Largest Element in an Array,MEDIUM,22,"Amazon, Apple, Bloomberg, ByteDance, Deolite, Flipkart, Goldman Sachs, Google, Intuit, JP Morgan, Linkedln, Meta, Microsoft, Morgan Stanley, NVIDIA, Oracle, PayPal, Qualcomm, Salesforce, ServiceNow, Spotify, Walmart",58.2,67.98%,https://leetcode.com/problems/kth-largest-element-in-an-array,"Array, Divide and Conquer, Heap (Priority Queue), Quickselect, Sorting","Array, Queue, Heap / Priority Queue, Sorting, Divide and Conquer"
Letter Combinations of a Phone Number,MEDIUM,22,"Adobe, Amazon, Apple, Bloomberg, Cisco, Citadel, DEShaw, Goldman Sachs, Google, IBM, JP Morgan, Linkedln, Meta, Microsoft, Morgan Stanley, Oracle, Salesforce, ServiceNow, Swiggy, Tesla, Uber, Yahoo",56.1,0.6385755061179695,https://leetcode.com/problems/letter-combinations-of-a-phone-number,"Backtracking, Hash Table, String","String, Hash Table, Backtracking"
Rotate Image,MEDIUM,22,"Adobe, Amazon, Apple, Bloomberg, Cisco, DEShaw, Flipkart, Goldman Sachs, Google, IBM, Intel, JP Morgan, Meta, Microsoft, NVIDIA, Netflix, Oracle, PayPal, Qualcomm, Uber, Walmart, Yahoo",56.1,0.7790165261990751,https://leetcode.com/problems/rotate-image,"Array, Math, Matrix","Array, Math, Matrix"
Search in Rotated Sorted Array,MEDIUM,22,"Adobe, Amazon, Apple, Bloomberg, ByteDance, Flipkart, Goldman Sachs, Google, Linkedln, Meta, Microsoft, NVIDIA, Netflix, Oracle, PayPal, Salesforce, ServiceNow, Snap, Uber, Visa, Walmart, Yahoo",47.2,0.4283721632586699,https://leetcode.com/problems/search-in-rotated-sorted-array,"Array, Binary Search","Array, Binary Search"
Spiral Matrix,MEDIUM,22,"Adobe, Amazon, Apple, Bloomberg, Cisco, DEShaw, Databricks, Goldman Sachs, Google, IBM, Intuit, JP Morgan, Meta, Microsoft, NVIDIA, Netflix, Oracle, PayPal, Uber, Visa, Walmart, Yahoo",62.7,0.5393976057408939,https://leetcode.com/problems/spiral-matrix,"Array, Matrix, Simulation","Array, Matrix, Simulation"
Merge k Sorted Lists,HARD,22,"Adobe, Amazon, Apple, Bloomberg, ByteDance, Cisco, Citadel, Dell, Deolite, Google, Linkedln, Meta, Microsoft, NVIDIA, Oracle, Palantir, Salesforce, Snowflake, Twitter, Uber, Walmart, Yahoo",50.0,0.5677420052593406,https://leetcode.com/problems/merge-k-sorted-lists,"Divide and Conquer, Heap (Priority Queue), Linked List, Merge Sort","Linked List, Queue, Heap / Priority Queue, Divide and Conquer"
Climbing Stairs,EASY,21,"Adobe, Amazon, Apple, Bloomberg, ByteDance, Cisco, Citadel, Deolite, Goldman Sachs, Google, IBM, Intel, Intuit, JP Morgan, Meta, Microsoft, NVIDIA, Oracle, Qualcomm, Uber, Yahoo",69.9,0.5354071840932856,https://leetcode.com/problems/climbing-stairs,"Dynamic Programming, Math, Memoization","Dynamic Programming, Math"
Merge Two Sorted Lists,EASY,21,"Adobe, Amazon, Apple, Bloomberg, Flipkart, Goldman Sachs, Google, Intel, Intuit, Linkedln, Meta, Microsoft, Oracle, Salesforce, Snap, Snowflake, Swiggy, Uber, Visa, Walmart, Yahoo",61.7,0.6684088801523707,https://leetcode.com/problems/merge-two-sorted-lists,"Linked List, Recursion","Linked List, Recursion"
House Robber,MEDIUM,21,"Amazon, Apple, ByteDance, Cisco, Citadel, DEShaw, Databricks, Flipkart, Goldman Sachs, Google, Intuit, Linkedln, Meta, Microsoft, Morgan Stanley, NVIDIA, PayPal, Salesforce, ServiceNow, Tesla, Walmart",68.7,52.3%,https://leetcode.com/problems/house-robber,"Array, Dynamic Programming","Array, Dynamic Programming"
Integer to Roman,MEDIUM,21,"Adobe, Amazon, Apple, Atlassian, Bloomberg, Citadel, Goldman Sachs, Google, IBM, JP Morgan, Linkedln, Meta, Microsoft, Oracle, Salesforce, Swiggy, Twitter, Uber, Visa, Walmart, Yahoo",78.7,0.6861925885666443,https://leetcode.com/problems/integer-to-roman,"Hash Table, Math, String","String, Hash Table, Math"
Top K Frequent Elements,MEDIUM,21,"Adobe, Amazon, Apple, Atlassian, Bloomberg, ByteDance, Cisco, Goldman Sachs, Intuit, JP Morgan, Meta, Netflix, Oracle, PayPal, Salesforce, Snap, Snowflake, Tesla, Uber, Visa, Walmart",92.0,0.6456596965737327,https://leetcode.com/problems/top-k-frequent-elements,"Array, Bucket Sort, Counting, Divide and Conquer, Hash Table, Heap (Priority Queue), Quickselect, Sorting","Array, Hash Table, Queue, Heap / Priority Queue, Sorting, Divide and Conquer"
First Missing Positive,HARD,21,"Adobe, Amazon, Apple, Bloomberg, Databricks, Flipkart, Goldman Sachs, Google, Meta, Microsoft, Morgan Stanley, Netflix, Oracle, PayPal, Salesforce, ServiceNow, Swiggy, Tesla, Uber, Walmart, Zomato",49.0,0.4108465766394882,https://leetcode.com/problems/first-missing-positive,"Array, Hash Table","Array, Hash Table"
Generate Parentheses,MEDIUM,20,"Adobe, Amazon, Apple, BlackRock, Bloomberg, DEShaw, Google, IBM, Intuit, JP Morgan, Meta, Microsoft, Morgan Stanley, NVIDIA, Netflix, Oracle, ServiceNow, Uber, Walmart, Yahoo",57.3,0.7713286717803378,https://leetcode.com/problems/generate-parentheses,"Backtracking, Dynamic Programming, String","String, Dynamic Programming, Backtracking"
Longest Consecutive Sequence,MEDIUM,20,"Amazon, Apple, Atlassian, Bloomberg, ByteDance, Cisco, DEShaw, Flipkart, Goldman Sachs, Google, IBM, Meta, Microsoft, Oracle, PayPal, ServiceNow, Swiggy, Uber, Walmart, Yahoo",66.1,47.04%,https://leetcode.com/problems/longest-consecutive-sequence,"Array, Hash Table, Union Find","Array, Hash Table, Union Find"
Subarray Sum Equals K,MEDIUM,20,"Amazon, Apple, Bloomberg, ByteDance, Cisco, Flipkart, Goldman Sachs, Google, IBM, JP Morgan, Meta, Microsoft, Morgan Stanley, NVIDIA, PayPal, ServiceNow, Snap, Swiggy, Tesla, Walmart",55.0,45.48%,https://leetcode.com/problems/subarray-sum-equals-k,"Array, Hash Table, Prefix Sum","Array, Hash Table, Prefix Sum"
Combination Sum,MEDIUM,19,"Adobe, Amazon, Apple, Bloomberg, ByteDance, Citadel, DEShaw, Google, JP Morgan, Linkedln, Meta, Microsoft, Oracle, Salesforce, ServiceNow, Snap, Uber, Walmart, Yahoo",18.2,0.7467468656021409,https://leetcode.com/problems/combination-sum,"Array, Backtracking","Array, Backtracking"
Product of Array Except Self,MEDIUM,19,"Adobe, Amazon, Apple, Bloomberg, Cisco, Flipkart, Goldman Sachs, IBM, Intuit, Linkedln, Meta, Microsoft, NVIDIA, Oracle, PayPal, Salesforce, Snap, Uber, Walmart",78.7,0.6777995792305304,https://leetcode.com/problems/product-of-array-except-self,"Array, Prefix Sum","Array, Prefix Sum"
Word Search,MEDIUM,19,"Adobe, Amazon, Apple, Atlassian, Bloomberg, Cisco, Citadel, Goldman Sachs, Meta, Microsoft, Morgan Stanley, Netflix, Oracle, PayPal, Salesforce, Snap, Uber, Visa, Walmart",34.8,0.4526693801123823,https://leetcode.com/problems/word-search,"Array, Backtracking, Depth-First Search, Matrix, String","Array, String, Backtracking, DFS, Matrix"
Reverse Linked List,EASY,18,"Apple, Bloomberg, ByteDance, Cisco, Deolite, Google, JP Morgan, Meta, Microsoft, NVIDIA, Oracle, PayPal, Qualcomm, ServiceNow, Snap, Tesla, Twitter, Visa",57.2,0.7920654119580827,https://leetcode.com/problems/reverse-linked-list,"Linked List, Recursion","Linked List, Recursion"
Insert Delete GetRandom O(1),MEDIUM,18,"Amazon, Bloomberg, ByteDance, Cisco, Citadel, DEShaw, Goldman Sachs, Google, Intuit, Linkedln, NVIDIA, Netflix, Oracle, Salesforce, Snap, Snowflake, Twitter, Uber",64.0,54.99%,https://leetcode.com/problems/insert-delete-getrandom-o1,"Array, Design, Hash Table, Math, Randomized","Array, Hash Table, Math, Design"
Meeting Rooms II,MEDIUM,18,"Amazon, Apple, Atlassian, Bloomberg, Cisco, Google, IBM, Meta, Microsoft, Morgan Stanley, NVIDIA, Netflix, Oracle, PayPal, Salesforce, ServiceNow, Snap, Snowflake",68.7,52.14%,https://leetcode.com/problems/meeting-rooms-ii,"Array, Greedy, Heap (Priority Queue), Prefix Sum, Sorting, Two Pointers","Array, Queue, Heap / Priority Queue, Sorting, Greedy, Two Pointers, Prefix Sum"
Min Stack,MEDIUM,18,"Amazon, Apple, Bloomberg, Cisco, Google, Intuit, Linkedln, Microsoft, Morgan Stanley, NVIDIA, Oracle, PayPal, Salesforce, Snap, Snowflake, Uber, Walmart, Yahoo",64.0,56.45%,https://leetcode.com/problems/min-stack,"Design, Stack","Stack, Design"
"Pow(x, n)",MEDIUM,18,"Adobe, Amazon, Apple, Bloomberg, ByteDance, Citadel, Goldman Sachs, Google, Linkedln, Meta, Microsoft, Oracle, Qualcomm, Salesforce, ServiceNow, Uber, Walmart, Yahoo",47.2,0.370231906887774,https://leetcode.com/problems/powx-n,"Math, Recursion","Recursion, Math"
Sort Colors,MEDIUM,18,"Adobe, Amazon, Apple, Bloomberg, DEShaw, Flipkart, Google, Meta, Microsoft, Morgan Stanley, NVIDIA, Oracle, PayPal, Salesforce, Swiggy, Uber, Walmart, Yahoo",50.0,0.675831142046278,https://leetcode.com/problems/sort-colors,"Array, Sorting, Two Pointers","Array, Sorting, Two Pointers"
Palindrome Number,EASY,17,"Adobe, Amazon, Apple, Bloomberg, Deolite, Google, IBM, Intel, JP Morgan, Meta, Microsoft, Oracle, Qualcomm, Uber, Visa, Walmart, Yahoo",69.6,0.5922454353509216,https://leetcode.com/problems/palindrome-number,Math,Math
Coin Change,MEDIUM,17,"Amazon, Atlassian, BlackRock, Bloomberg, Deolite, Goldman Sachs, Google, Intuit, JP Morgan, NVIDIA, Netflix, Oracle, PayPal, Salesforce, ServiceNow, Uber, Walmart",64.0,46.5%,https://leetcode.com/problems/coin-change,"Array, Breadth-First Search, Dynamic Programming","Array, Dynamic Programming, BFS"
Course Schedule,MEDIUM,17,"Amazon, Apple, ByteDance, Citadel, Flipkart, Google, Intuit, Meta, Microsoft, NVIDIA, Oracle, PayPal, Snap, Snowflake, Swiggy, Visa, Walmart",71.3,49.23%,https://leetcode.com/problems/course-schedule,"Breadth-First Search, Depth-First Search, Graph, Topological Sort","Graph, BFS, DFS"
Jump Game,MEDIUM,17,"Adobe, Amazon, Apple, Bloomberg, Cisco, Flipkart, Goldman Sachs, Google, Meta, Microsoft, Morgan Stanley, Oracle, PayPal, Salesforce, ServiceNow, Uber, Yahoo",58.5,0.3947919786729132,https://leetcode.com/problems/jump-game,"Array, Dynamic Programming, Greedy","Array, Dynamic Programming, Greedy"
Next Permutation,MEDIUM,17,"Adobe, Amazon, Apple, Bloomberg, ByteDance, DEShaw, Goldman Sachs, Google, IBM, Intuit, JP Morgan, Linkedln, Meta, Microsoft, ServiceNow, Uber, Yahoo",64.4,0.4305775328017951,https://leetcode.com/problems/next-permutation,"Array, Two Pointers","Array, Two Pointers"
Permutations,MEDIUM,17,"Adobe, Amazon, Apple, Bloomberg, Cisco, Citadel, Goldman Sachs, Google, JP Morgan, Linkedln, Meta, Microsoft, Oracle, Qualcomm, ServiceNow, Uber, Yahoo",53.3,0.8066012553007272,https://leetcode.com/problems/permutations,"Array, Backtracking","Array, Backtracking"
Valid Sudoku,MEDIUM,17,"Adobe, Amazon, Apple, Bloomberg, Goldman Sachs, Google, Linkedln, Meta, Microsoft, NVIDIA, Oracle, PayPal, Snap, Uber, Visa, Walmart, Yahoo",50.0,0.6227675793740958,https://leetcode.com/problems/valid-sudoku,"Array, Hash Table, Matrix","Array, Hash Table, Matrix"
Minimum Window Substring,HARD,17,"Adobe, Amazon, Apple, Bloomberg, ByteDance, Google, Linkedln, Meta, Microsoft, Oracle, PayPal, Salesforce, Snap, Snowflake, Uber, Walmart, Yahoo",78.7,0.4535074763823223,https://leetcode.com/problems/minimum-window-substring,"Hash Table, Sliding Window, String","String, Hash Table, Sliding Window"
Majority Element,EASY,16,"Adobe, Amazon, Bloomberg, DEShaw, Deolite, Flipkart, Google, IBM, Meta, Microsoft, NVIDIA, Oracle, Qualcomm, Salesforce, Swiggy, Yahoo",78.7,0.6574028018936169,https://leetcode.com/problems/majority-element,"Array, Counting, Divide and Conquer, Hash Table, Sorting","Array, Hash Table, Sorting, Divide and Conquer"
Add Two Numbers,MEDIUM,16,"Adobe, Amazon, Apple, Bloomberg, ByteDance, Cisco, Goldman Sachs, Google, Intel, Meta, Microsoft, NVIDIA, Oracle, Uber, Walmart, Yahoo",70.5,0.4622507291808296,https://leetcode.com/problems/add-two-numbers,"Linked List, Math, Recursion","Linked List, Recursion, Math"
Best Time to Buy and Sell Stock II,MEDIUM,16,"Amazon, Apple, Bloomberg, Citadel, DEShaw, Goldman Sachs, Google, Intel, JP Morgan, Meta, Microsoft, Qualcomm, Salesforce, Uber, Walmart, Yahoo",64.0,69.5%,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-ii,"Array, Dynamic Programming, Greedy","Array, Dynamic Programming, Greedy"
Daily Temperatures,MEDIUM,16,"Amazon, Bloomberg, Flipkart, Goldman Sachs, Google, Intuit, JP Morgan, Microsoft, NVIDIA, Netflix, Palantir, Salesforce, ServiceNow, Swiggy, Visa, Walmart",42.4,67.37%,https://leetcode.com/problems/daily-temperatures,"Array, Monotonic Stack, Stack","Array, Stack, Monotonic Stack"
Jump Game II,MEDIUM,16,"Adobe, Amazon, Apple, Atlassian, Bloomberg, DEShaw, Flipkart, Goldman Sachs, Google, Meta, Microsoft, Oracle, PayPal, Uber, Walmart, Zomato",50.7,0.415032966531176,https://leetcode.com/problems/jump-game-ii,"Array, Dynamic Programming, Greedy","Array, Dynamic Programming, Greedy"
Zigzag Conversion,MEDIUM,16,"Adobe, Amazon, Apple, Bloomberg, Cisco, Goldman Sachs, Google, Intuit, Meta, Microsoft, Oracle, PayPal, Salesforce, ServiceNow, Uber, Yahoo",41.2,0.5160678115303926,https://leetcode.com/problems/zigzag-conversion,String,String
Text Justification,HARD,16,"Adobe, Amazon, Apple, Atlassian, Bloomberg, Databricks, Goldman Sachs, Google, Linkedln, Meta, Microsoft, Netflix, Oracle, PayPal, Uber, Visa",34.8,0.4814993566410409,https://leetcode.com/problems/text-justification,"Array, Simulation, String","Array, String, Simulation"
Longest Common Prefix,EASY,15,"Adobe, Amazon, Apple, Bloomberg, Deolite, Google, IBM, Meta, Microsoft, NVIDIA, Oracle, Uber, Visa, Walmart, Yahoo",80.1,0.4548305774598658,https://leetcode.com/problems/longest-common-prefix,"String, Trie","String, Trie"
Move Zeroes,EASY,15,"Amazon, Apple, Bloomberg, Cisco, Goldman Sachs, Google, Intuit, Meta, Microsoft, NVIDIA, Oracle, Salesforce, ServiceNow, Tesla, Walmart",58.2,62.8%,https://leetcode.com/problems/move-zeroes,"Array, Two Pointers","Array, Two Pointers"
Remove Duplicates from Sorted Array,EASY,15,"Adobe, Amazon, Apple, Bloomberg, Cisco, Flipkart, Google, IBM, Meta, Microsoft, Morgan Stanley, Oracle, Qualcomm, Uber, Yahoo",64.4,0.6035551873801481,https://leetcode.com/problems/remove-duplicates-from-sorted-array,"Array, Two Pointers","Array, Two Pointers"
Roman to Integer,EASY,15,"Adobe, Amazon, Apple, Bloomberg, Goldman Sachs, Google, IBM, Meta, Microsoft, Oracle, Salesforce, Snowflake, Uber, Visa, Yahoo",62.7,0.6486627884371093,https://leetcode.com/problems/roman-to-integer,"Hash Table, Math, String","String, Hash Table, Math"
Decode Ways,MEDIUM,15,"Adobe, Amazon, Apple, Bloomberg, Flipkart, Goldman Sachs, JP Morgan, Meta, Microsoft, Morgan Stanley, Oracle, Salesforce, Snap, Uber, Walmart",78.7,0.3653098286175434,https://leetcode.com/problems/decode-ways,"Dynamic Programming, String","String, Dynamic Programming"
Edit Distance,MEDIUM,15,"Adobe, Amazon, Apple, Bloomberg, Cisco, DEShaw, Deolite, Flipkart, Linkedln, Meta, Microsoft, Snap, Swiggy, Visa, Yahoo",30.6,0.5878978269295445,https://leetcode.com/problems/edit-distance,"Dynamic Programming, String","String, Dynamic Programming"
Find First and Last Position of Element in Sorted Array,MEDIUM,15,"Adobe, Amazon, Apple, Atlassian, Bloomberg, DEShaw, Google, Linkedln, Meta, Microsoft, Oracle, PayPal, ServiceNow, Uber, Yahoo",53.3,0.4682875947454554,https://leetcode.com/problems/find-first-and-last-position-of-element-in-sorted-array,"Array, Binary Search","Array, Binary Search"
Reverse Integer,MEDIUM,15,"Adobe, Amazon, Apple, Bloomberg, Deolite, Google, IBM, Intel, Meta, Microsoft, NVIDIA, Oracle, Qualcomm, Uber, Yahoo",74.8,0.3030892269554824,https://leetcode.com/problems/reverse-integer,Math,Math
Rotting Oranges,MEDIUM,15,"Adobe, Amazon, ByteDance, Citadel, Flipkart, Goldman Sachs, Intuit, Microsoft, Oracle, PayPal, Salesforce, ServiceNow, Twitter, Uber, Walmart",78.7,0.566184675573941,https://leetcode.com/problems/rotting-oranges,"Array, Breadth-First Search, Matrix","Array, BFS, Matrix"
Set Matrix Zeroes,MEDIUM,15,"Adobe, Amazon, Apple, Bloomberg, Goldman Sachs, Google, JP Morgan, Meta, Microsoft, NVIDIA, Oracle, ServiceNow, Uber, Walmart, Yahoo",60.7,0.6070884864800216,https://leetcode.com/problems/set-matrix-zeroes,"Array, Hash Table, Matrix","Array, Hash Table, Matrix"
Unique Paths,MEDIUM,15,"Adobe, Amazon, Apple, Bloomberg, ByteDance, Cisco, DEShaw, Goldman Sachs, Google, Meta, Microsoft, Oracle, Uber, Yahoo, Zomato",50.0,0.6577287347956182,https://leetcode.com/problems/unique-paths,"Combinatorics, Dynamic Programming, Math","Dynamic Programming, Math"
Validate Binary Search Tree,MEDIUM,15,"Adobe, Amazon, Apple, Bloomberg, Citadel, IBM, Linkedln, Meta, Microsoft, NVIDIA, Oracle, Salesforce, ServiceNow, Uber, Yahoo",30.6,0.3438040355108531,https://leetcode.com/problems/validate-binary-search-tree,"Binary Search Tree, Binary Tree, Depth-First Search, Tree","Binary Search, Tree, DFS"
Word Break,MEDIUM,15,"Amazon, Apple, Bloomberg, Flipkart, Google, IBM, Intuit, Meta, Microsoft, Netflix, Salesforce, Snowflake, Uber, Walmart, Yahoo",50.8,48.27%,https://leetcode.com/problems/word-break,"Array, Dynamic Programming, Hash Table, Memoization, String, Trie","Array, String, Dynamic Programming, Hash Table, Trie"
Find Median from Data Stream,HARD,15,"Amazon, Apple, Citadel, Flipkart, Goldman Sachs, Google, Meta, Microsoft, NVIDIA, Oracle, PayPal, Salesforce, Snowflake, Spotify, Uber",60.0,53.28%,https://leetcode.com/problems/find-median-from-data-stream,"Data Stream, Design, Heap (Priority Queue), Sorting, Two Pointers","Queue, Heap / Priority Queue, Sorting, Two Pointers, Design"
N-Queens,HARD,15,"Adobe, Amazon, Apple, Bloomberg, Citadel, Goldman Sachs, Google, IBM, Meta, Microsoft, Oracle, Salesforce, Snowflake, Uber, Yahoo",25.2,0.7281704967757537,https://leetcode.com/problems/n-queens,"Array, Backtracking","Array, Backtracking"
Reverse Nodes in k-Group,HARD,15,"Adobe, Amazon, Apple, Bloomberg, DEShaw, Google, Meta, Microsoft, Qualcomm, Salesforce, Snowflake, Tesla, Visa, Walmart, Yahoo",43.8,0.630436472551844,https://leetcode.com/problems/reverse-nodes-in-k-group,"Linked List, Recursion","Linked List, Recursion"
